shipment_id,delivery_id,claim_id,ship_date,delivery_date,calculated_delay,stock_level,reorder_threshold,reorder_flag,claim_date,resolved_date,claim_age,reason,amount_claimed,claim_status
S00001,D00000,,2025-07-25,2025-08-01,7,564.0,180.0,False,,,,,,
S00001,D00000,,2025-07-25,2025-08-01,7,215.0,246.0,True,,,,,,
S00002,D00001,,2025-07-06,2025-07-16,10,328.0,127.0,False,,,,,,
S00003,D00002,,2025-05-14,2025-05-24,10,523.0,119.0,False,,,,,,
S00003,D00002,,2025-05-14,2025-05-24,10,39.0,208.0,True,,,,,,
S00004,D00003,,2025-06-26,2025-07-03,7,235.0,245.0,True,,,,,,
S00005,D00004,C00288,2025-04-26,2025-05-01,5,417.0,245.0,False,2025-07-17,2025-07-20,3.0,Incorrect Delivery,330.78,Rejected
S00005,D00004,C00288,2025-04-26,2025-05-01,5,564.0,174.0,False,2025-07-17,2025-07-20,3.0,Incorrect Delivery,330.78,Rejected
S00006,D00005,,2025-06-14,2025-06-19,5,77.0,244.0,True,,,,,,
S00006,D00005,,2025-06-14,2025-06-19,5,834.0,175.0,False,,,,,,
S00007,D00006,,2025-06-02,2025-06-07,5,657.0,209.0,False,,,,,,
S00008,D00007,C00160,2025-04-18,2025-04-26,8,867.0,163.0,False,2025-06-28,2025-07-17,19.0,Damage,122.3,Rejected
S00008,D00007,C00160,2025-04-18,2025-04-26,8,649.0,108.0,False,2025-06-28,2025-07-17,19.0,Damage,122.3,Rejected
S00009,D00008,,2025-03-26,2025-03-30,4,,,False,,,,,,
S00010,D00009,,2025-05-27,2025-06-03,7,,,False,,,,,,
S00011,D00010,,2025-03-28,2025-03-30,2,875.0,256.0,False,,,,,,
S00011,D00010,,2025-03-28,2025-03-30,2,818.0,274.0,False,,,,,,
S00011,D00010,,2025-03-28,2025-03-30,2,747.0,265.0,False,,,,,,
S00012,D00011,,2025-05-21,2025-05-30,9,235.0,245.0,True,,,,,,
S00013,D00012,,2025-06-04,2025-06-10,6,,,False,,,,,,
S00014,D00013,,2025-06-28,2025-07-02,4,749.0,204.0,False,,,,,,
S00015,D00014,,2025-03-27,2025-04-04,8,674.0,261.0,False,,,,,,
S00016,D00015,C00180,2025-08-04,2025-08-13,9,,,False,2025-09-08,2025-09-21,13.0,Damage,527.13,Rejected
S00016,D00015,C00213,2025-08-04,2025-08-13,9,,,False,2025-07-21,2025-07-25,4.0,Lost Package,316.83,Rejected
S00017,D00016,,2025-05-25,2025-05-30,5,,,False,,,,,,
S00018,D00017,C00006,2025-06-30,2025-07-04,4,472.0,217.0,False,2025-04-25,2025-05-08,13.0,Lost Package,980.19,Pending
S00018,D00017,C00006,2025-06-30,2025-07-04,4,655.0,256.0,False,2025-04-25,2025-05-08,13.0,Lost Package,980.19,Pending
S00019,D00018,C00273,2025-05-26,2025-05-28,2,955.0,190.0,False,2025-08-15,2025-08-23,8.0,Damage,157.03,Approved
S00020,D00019,,2025-06-29,2025-07-07,8,,,False,,,,,,
S00021,D00020,,2025-06-06,2025-06-15,9,,,False,,,,,,
S00022,D00021,,2025-04-17,2025-04-25,8,,,False,,,,,,
S00023,D00022,,2025-07-21,2025-07-24,3,,,False,,,,,,
S00024,D00023,,2025-07-04,2025-07-13,9,820.0,160.0,False,,,,,,
S00025,D00024,,2025-03-27,2025-04-05,9,280.0,104.0,False,,,,,,
S00026,D00025,C00075,2025-05-13,2025-05-17,4,659.0,178.0,False,2025-05-31,2025-06-15,15.0,Damage,815.59,Pending
S00027,D00026,C00093,2025-07-25,2025-07-28,3,787.0,245.0,False,2025-08-10,2025-08-25,15.0,Delay,520.54,Rejected
S00027,D00026,C00122,2025-07-25,2025-07-28,3,787.0,245.0,False,2025-05-04,2025-05-09,5.0,Lost Package,507.75,Approved
S00028,D00027,,2025-04-08,2025-04-14,6,,,False,,,,,,
S00029,D00028,,2025-05-05,2025-05-15,10,749.0,204.0,False,,,,,,
S00030,D00029,C00169,2025-05-24,2025-05-31,7,77.0,244.0,True,2025-08-07,2025-08-16,9.0,Incorrect Delivery,217.77,Approved
S00030,D00029,C00169,2025-05-24,2025-05-31,7,834.0,175.0,False,2025-08-07,2025-08-16,9.0,Incorrect Delivery,217.77,Approved
S00031,D00030,,2025-03-18,2025-03-20,2,,,False,,,,,,
S00032,D00031,,2025-07-09,2025-07-11,2,357.0,297.0,False,,,,,,
S00032,D00031,,2025-07-09,2025-07-11,2,921.0,218.0,False,,,,,,
S00033,D00032,C00073,2025-07-23,2025-07-26,3,879.0,289.0,False,2025-06-30,2025-07-14,14.0,Damage,981.84,Approved
S00034,D00033,C00046,2025-05-02,2025-05-09,7,983.0,225.0,False,2025-05-17,2025-06-06,20.0,Delay,152.78,Pending
S00034,D00033,C00046,2025-05-02,2025-05-09,7,531.0,226.0,False,2025-05-17,2025-06-06,20.0,Delay,152.78,Pending
S00035,D00034,,2025-05-10,2025-05-15,5,,,False,,,,,,
S00036,D00035,,2025-04-24,2025-05-01,7,199.0,247.0,True,,,,,,
S00036,D00035,,2025-04-24,2025-05-01,7,972.0,110.0,False,,,,,,
